Дата;Название;Новости;Ссылка
23.04.2021;Структура государственного долга Кыргызской Республики на 28 февраля 2021 года;По состоянию на 28 февраля 2021 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 948,57 млн. долларов США (419 391,28 млн. сом);http://www.minfin.kg/http://www.minfin.kg/ru/novosti/mamlekettik-karyz/obsluzhivanie-gosudarstvennogo-dolga/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub
15.03.2021;Структура государственного долга Кыргызской Республики на 31.01.2021 года;По состоянию на 31 января 2021 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 954,11 млн. долларов США (420 108,67 млн. сом).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub7096
04.02.2021;Структура государственного долга Кыргызской Республики на 31.12.2020 года;По состоянию на 31 декабря 2021 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 928,67 млн. долларов США (407 353,36 млн. сом).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub7056
12.01.2021;Структура государственного долга Кыргызской Республики на 30.11.2020 года;По состоянию на 30 ноября 2020 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 887,46 млн. долларов США (414 448,46 млн. сом).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub6998
03.08.2020;Структура государственного долга Кыргызской Республики на 30.06.2020 года;Структура государственного долга Кыргызской Республики по состоянию на 30.06.2020 года.;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub6798
06.07.2020;Структура государственного долга Кыргызской Республики на 31.05.2020 года;По состоянию на 31 мая 2020 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 758,55 млн. долларов США (351 027,58 млн. сомов).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/na-31-maya-tekuschego-goda-gosudarstvennyy-dolg-ky
15.06.2020;Структура государственного долга Кыргызской Республики на 30.04.2020 года;По состоянию на 30 апреля 2020 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 592,84 млн. долларов США (362 574,81 млн. сом).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/na-30-aprelya-tekuschego-goda-vneshniy-dolg-kyrgyz
15.05.2020;На конец марта 2020 года внешний долг страны составил около 4 млрд. долларов США;По уточнённым данным, на 31 марта 2020 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 599,47 млн. долларов США (371 683,52 млн. сом).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/na-konets-marta-2020-goda-vneshniy-dolg-strany-sos
21.04.2020;На 29 февраля текущего года общая сумма госдолга Кыргызстана составила 321,7 млрд. сомов;По последним расчетам, на 29 февраля 2020 года общая сумма государственного долга Кыргызской Республики составила 321 738,15 сомов (или 4 606,13 млн. долларов США).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/fevral-ayynyn-sounda-kyrgyzstandyn-mamlekettik-kar
09.03.2020;На 31 января 2020 года госдолг Кыргызской Республики составил 4,6 млрд. долларов США;По состоянию на 31 января 2020 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 616,56 млн. долларов США (322 466,54 млн. сомов).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/na-31-yanvarya-2020-goda-gosdolg-kyrgyzskoy-respub
Дата;Название;Новости;Ссылка
23.04.2021;Структура государственного долга Кыргызской Республики на 28 февраля 2021 года;По состоянию на 28 февраля 2021 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 948,57 млн. долларов США (419 391,28 млн. сом);http://www.minfin.kg/http://www.minfin.kg/ru/novosti/mamlekettik-karyz/obsluzhivanie-gosudarstvennogo-dolga/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub
15.03.2021;Структура государственного долга Кыргызской Республики на 31.01.2021 года;По состоянию на 31 января 2021 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 954,11 млн. долларов США (420 108,67 млн. сом).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub7096
04.02.2021;Структура государственного долга Кыргызской Республики на 31.12.2020 года;По состоянию на 31 декабря 2021 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 928,67 млн. долларов США (407 353,36 млн. сом).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub7056
12.01.2021;Структура государственного долга Кыргызской Республики на 30.11.2020 года;По состоянию на 30 ноября 2020 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 887,46 млн. долларов США (414 448,46 млн. сом).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub6998
03.08.2020;Структура государственного долга Кыргызской Республики на 30.06.2020 года;Структура государственного долга Кыргызской Республики по состоянию на 30.06.2020 года.;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub6798
06.07.2020;Структура государственного долга Кыргызской Республики на 31.05.2020 года;По состоянию на 31 мая 2020 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 758,55 млн. долларов США (351 027,58 млн. сомов).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/na-31-maya-tekuschego-goda-gosudarstvennyy-dolg-ky
15.06.2020;Структура государственного долга Кыргызской Республики на 30.04.2020 года;По состоянию на 30 апреля 2020 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 592,84 млн. долларов США (362 574,81 млн. сом).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/na-30-aprelya-tekuschego-goda-vneshniy-dolg-kyrgyz
15.05.2020;На конец марта 2020 года внешний долг страны составил около 4 млрд. долларов США;По уточнённым данным, на 31 марта 2020 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 599,47 млн. долларов США (371 683,52 млн. сом).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/na-konets-marta-2020-goda-vneshniy-dolg-strany-sos
21.04.2020;На 29 февраля текущего года общая сумма госдолга Кыргызстана составила 321,7 млрд. сомов;По последним расчетам, на 29 февраля 2020 года общая сумма государственного долга Кыргызской Республики составила 321 738,15 сомов (или 4 606,13 млн. долларов США).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/fevral-ayynyn-sounda-kyrgyzstandyn-mamlekettik-kar
09.03.2020;На 31 января 2020 года госдолг Кыргызской Республики составил 4,6 млрд. долларов США;По состоянию на 31 января 2020 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 616,56 млн. долларов США (322 466,54 млн. сомов).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/na-31-yanvarya-2020-goda-gosdolg-kyrgyzskoy-respub
23.04.2021;Структура государственного долга Кыргызской Республики на 28 февраля 2021 года;По состоянию на 28 февраля 2021 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 948,57 млн. долларов США (419 391,28 млн. сом);http://www.minfin.kg/http://www.minfin.kg/ru/novosti/mamlekettik-karyz/obsluzhivanie-gosudarstvennogo-dolga/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub
15.03.2021;Структура государственного долга Кыргызской Республики на 31.01.2021 года;По состоянию на 31 января 2021 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 954,11 млн. долларов США (420 108,67 млн. сом).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub7096
04.02.2021;Структура государственного долга Кыргызской Республики на 31.12.2020 года;По состоянию на 31 декабря 2021 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 928,67 млн. долларов США (407 353,36 млн. сом).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub7056
12.01.2021;Структура государственного долга Кыргызской Республики на 30.11.2020 года;По состоянию на 30 ноября 2020 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 887,46 млн. долларов США (414 448,46 млн. сом).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub6998
03.08.2020;Структура государственного долга Кыргызской Республики на 30.06.2020 года;Структура государственного долга Кыргызской Республики по состоянию на 30.06.2020 года.;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub6798
06.07.2020;Структура государственного долга Кыргызской Республики на 31.05.2020 года;По состоянию на 31 мая 2020 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 758,55 млн. долларов США (351 027,58 млн. сомов).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/na-31-maya-tekuschego-goda-gosudarstvennyy-dolg-ky
15.06.2020;Структура государственного долга Кыргызской Республики на 30.04.2020 года;По состоянию на 30 апреля 2020 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 592,84 млн. долларов США (362 574,81 млн. сом).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/na-30-aprelya-tekuschego-goda-vneshniy-dolg-kyrgyz
15.05.2020;На конец марта 2020 года внешний долг страны составил около 4 млрд. долларов США;По уточнённым данным, на 31 марта 2020 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 599,47 млн. долларов США (371 683,52 млн. сом).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/na-konets-marta-2020-goda-vneshniy-dolg-strany-sos
21.04.2020;На 29 февраля текущего года общая сумма госдолга Кыргызстана составила 321,7 млрд. сомов;По последним расчетам, на 29 февраля 2020 года общая сумма государственного долга Кыргызской Республики составила 321 738,15 сомов (или 4 606,13 млн. долларов США).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/fevral-ayynyn-sounda-kyrgyzstandyn-mamlekettik-kar
09.03.2020;На 31 января 2020 года госдолг Кыргызской Республики составил 4,6 млрд. долларов США;По состоянию на 31 января 2020 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 616,56 млн. долларов США (322 466,54 млн. сомов).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/na-31-yanvarya-2020-goda-gosdolg-kyrgyzskoy-respub
Дата;Название;Новости;Ссылка
23.04.2021;Структура государственного долга Кыргызской Республики на 28 февраля 2021 года;По состоянию на 28 февраля 2021 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 948,57 млн. долларов США (419 391,28 млн. сом);http://www.minfin.kg/http://www.minfin.kg/ru/novosti/mamlekettik-karyz/obsluzhivanie-gosudarstvennogo-dolga/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub
15.03.2021;Структура государственного долга Кыргызской Республики на 31.01.2021 года;По состоянию на 31 января 2021 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 954,11 млн. долларов США (420 108,67 млн. сом).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub7096
04.02.2021;Структура государственного долга Кыргызской Республики на 31.12.2020 года;По состоянию на 31 декабря 2021 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 928,67 млн. долларов США (407 353,36 млн. сом).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub7056
12.01.2021;Структура государственного долга Кыргызской Республики на 30.11.2020 года;По состоянию на 30 ноября 2020 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 887,46 млн. долларов США (414 448,46 млн. сом).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub6998
03.08.2020;Структура государственного долга Кыргызской Республики на 30.06.2020 года;Структура государственного долга Кыргызской Республики по состоянию на 30.06.2020 года.;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub6798
06.07.2020;Структура государственного долга Кыргызской Республики на 31.05.2020 года;По состоянию на 31 мая 2020 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 758,55 млн. долларов США (351 027,58 млн. сомов).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/na-31-maya-tekuschego-goda-gosudarstvennyy-dolg-ky
15.06.2020;Структура государственного долга Кыргызской Республики на 30.04.2020 года;По состоянию на 30 апреля 2020 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 592,84 млн. долларов США (362 574,81 млн. сом).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/na-30-aprelya-tekuschego-goda-vneshniy-dolg-kyrgyz
15.05.2020;На конец марта 2020 года внешний долг страны составил около 4 млрд. долларов США;По уточнённым данным, на 31 марта 2020 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 599,47 млн. долларов США (371 683,52 млн. сом).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/na-konets-marta-2020-goda-vneshniy-dolg-strany-sos
21.04.2020;На 29 февраля текущего года общая сумма госдолга Кыргызстана составила 321,7 млрд. сомов;По последним расчетам, на 29 февраля 2020 года общая сумма государственного долга Кыргызской Республики составила 321 738,15 сомов (или 4 606,13 млн. долларов США).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/fevral-ayynyn-sounda-kyrgyzstandyn-mamlekettik-kar
09.03.2020;На 31 января 2020 года госдолг Кыргызской Республики составил 4,6 млрд. долларов США;По состоянию на 31 января 2020 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 616,56 млн. долларов США (322 466,54 млн. сомов).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/na-31-yanvarya-2020-goda-gosdolg-kyrgyzskoy-respub
23.04.2021;Структура государственного долга Кыргызской Республики на 28 февраля 2021 года;По состоянию на 28 февраля 2021 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 948,57 млн. долларов США (419 391,28 млн. сом);http://www.minfin.kg/http://www.minfin.kg/ru/novosti/mamlekettik-karyz/obsluzhivanie-gosudarstvennogo-dolga/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub
15.03.2021;Структура государственного долга Кыргызской Республики на 31.01.2021 года;По состоянию на 31 января 2021 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 954,11 млн. долларов США (420 108,67 млн. сом).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub7096
04.02.2021;Структура государственного долга Кыргызской Республики на 31.12.2020 года;По состоянию на 31 декабря 2021 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 928,67 млн. долларов США (407 353,36 млн. сом).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub7056
12.01.2021;Структура государственного долга Кыргызской Республики на 30.11.2020 года;По состоянию на 30 ноября 2020 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 887,46 млн. долларов США (414 448,46 млн. сом).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub6998
03.08.2020;Структура государственного долга Кыргызской Республики на 30.06.2020 года;Структура государственного долга Кыргызской Республики по состоянию на 30.06.2020 года.;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub6798
06.07.2020;Структура государственного долга Кыргызской Республики на 31.05.2020 года;По состоянию на 31 мая 2020 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 758,55 млн. долларов США (351 027,58 млн. сомов).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/na-31-maya-tekuschego-goda-gosudarstvennyy-dolg-ky
15.06.2020;Структура государственного долга Кыргызской Республики на 30.04.2020 года;По состоянию на 30 апреля 2020 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 592,84 млн. долларов США (362 574,81 млн. сом).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/na-30-aprelya-tekuschego-goda-vneshniy-dolg-kyrgyz
15.05.2020;На конец марта 2020 года внешний долг страны составил около 4 млрд. долларов США;По уточнённым данным, на 31 марта 2020 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 599,47 млн. долларов США (371 683,52 млн. сом).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/na-konets-marta-2020-goda-vneshniy-dolg-strany-sos
21.04.2020;На 29 февраля текущего года общая сумма госдолга Кыргызстана составила 321,7 млрд. сомов;По последним расчетам, на 29 февраля 2020 года общая сумма государственного долга Кыргызской Республики составила 321 738,15 сомов (или 4 606,13 млн. долларов США).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/fevral-ayynyn-sounda-kyrgyzstandyn-mamlekettik-kar
09.03.2020;На 31 января 2020 года госдолг Кыргызской Республики составил 4,6 млрд. долларов США;По состоянию на 31 января 2020 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 616,56 млн. долларов США (322 466,54 млн. сомов).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/na-31-yanvarya-2020-goda-gosdolg-kyrgyzskoy-respub
23.04.2021;Структура государственного долга Кыргызской Республики на 28 февраля 2021 года;По состоянию на 28 февраля 2021 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 948,57 млн. долларов США (419 391,28 млн. сом);http://www.minfin.kg/http://www.minfin.kg/ru/novosti/mamlekettik-karyz/obsluzhivanie-gosudarstvennogo-dolga/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub
15.03.2021;Структура государственного долга Кыргызской Республики на 31.01.2021 года;По состоянию на 31 января 2021 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 954,11 млн. долларов США (420 108,67 млн. сом).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub7096
04.02.2021;Структура государственного долга Кыргызской Республики на 31.12.2020 года;По состоянию на 31 декабря 2021 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 928,67 млн. долларов США (407 353,36 млн. сом).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub7056
12.01.2021;Структура государственного долга Кыргызской Республики на 30.11.2020 года;По состоянию на 30 ноября 2020 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 887,46 млн. долларов США (414 448,46 млн. сом).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub6998
03.08.2020;Структура государственного долга Кыргызской Республики на 30.06.2020 года;Структура государственного долга Кыргызской Республики по состоянию на 30.06.2020 года.;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub6798
06.07.2020;Структура государственного долга Кыргызской Республики на 31.05.2020 года;По состоянию на 31 мая 2020 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 758,55 млн. долларов США (351 027,58 млн. сомов).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/na-31-maya-tekuschego-goda-gosudarstvennyy-dolg-ky
15.06.2020;Структура государственного долга Кыргызской Республики на 30.04.2020 года;По состоянию на 30 апреля 2020 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 592,84 млн. долларов США (362 574,81 млн. сом).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/na-30-aprelya-tekuschego-goda-vneshniy-dolg-kyrgyz
15.05.2020;На конец марта 2020 года внешний долг страны составил около 4 млрд. долларов США;По уточнённым данным, на 31 марта 2020 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 599,47 млн. долларов США (371 683,52 млн. сом).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/na-konets-marta-2020-goda-vneshniy-dolg-strany-sos
21.04.2020;На 29 февраля текущего года общая сумма госдолга Кыргызстана составила 321,7 млрд. сомов;По последним расчетам, на 29 февраля 2020 года общая сумма государственного долга Кыргызской Республики составила 321 738,15 сомов (или 4 606,13 млн. долларов США).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/fevral-ayynyn-sounda-kyrgyzstandyn-mamlekettik-kar
09.03.2020;На 31 января 2020 года госдолг Кыргызской Республики составил 4,6 млрд. долларов США;По состоянию на 31 января 2020 года размер государственного долга (внешний + внутренний) Кыргызской Республики составил 4 616,56 млн. долларов США (322 466,54 млн. сомов).;http://www.minfin.kg/http://www.minfin.kg/ru/novosti/novosti/na-31-yanvarya-2020-goda-gosdolg-kyrgyzskoy-respub
